Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
3,0,1,58000,Civic0VTi0Oriel0Prosmatec,17750000,1,1,2013
1,1,1,85000,Cultus0VXR,525000,1,1,2007
3,1,1,78000,City0Aspire,1300000,1,1,2012
1,0,1,200000,Liana,520000,1,1,2006
1,1,1,56347,Mehran0VXR,505000,1,1,2014
1,0,2,191000,Baleno,55000000,1,1,2003
3,1,1,54000,Civic0Prosmetic,10850000,1,1,2007
1,0,1,90000,Alto,4700000,1,1,2007
2,1,1,78000,Vitz,9850000,1,1,2008
1,0,2,78000,Alto,3700000,1,1,2007
2,0,1,19000,Corrolla0Altis,22500000,1,1,2017
1,0,1,85000,Cultus0VXR,435000,1,1,2006
1,0,2,900000,Bolan,2850000,1,1,1989
2,0,1,90000,Vitz,825000,1,1,2003
2,0,1,84000,Corolla0GLI,15750000,1,1,2013
1,0,2,10000,Khyber,235000,1,1,1996
1,0,2,40000,Bolan,4850000,1,1,2007
1,0,2,45321,Alto,665000,1,1,2012
3,0,2,179000,City0IDSI,7850000,1,1,2004
2,0,1,67000,Corolla0GLI,175000000,1,1,2014
1,1,2,55000,Mehran0VXR,310000,1,1,2003
3,0,1,48288,Civic0VTi0Oriel0Prosmatec,13700000,1,1,2010
1,1,1,51000,Cultus0VXR,7850000,1,1,2011
1,1,1,74000,Margalla,35500000,1,1,1995
1,0,4,10000,Swift,1850000,1,2,1990
2,0,2,72321,Corolla0XLI,12850000,1,1,2013
2,0,1,150000,Corolla0Axio,18500000,1,1,2014
1,0,1,52000,Cultus0VXR,8500000,1,1,2013
3,0,1,76000,City0Vario,85000000,1,1,2008
2,0,1,80000,Corolla0Fielder,1425000,1,1,2006
3,0,1,140000,City0IVTEC,1120000,1,1,2010
2,1,1,25000,Corolla0GLI,15000000,1,1,2010
1,1,1,56000,Alto,5850000,1,1,2012
1,0,2,80000,Alto,4750000,1,1,2007
1,0,2,23412,Margalla,265000,1,1,1994
3,0,2,75236,Civic0VTi,4850000,1,1,1996
2,1,1,87000,Corolla0GLI,1200000,1,1,2010
10,0,2,121222,AD0Van,6700000,1,1,2012
1,0,2,26000,Mehran0VX,145000,1,1,1990
2,1,1,19000,Corolla0XLI,19850000,1,1,2017
2,0,1,78500,Corolla0GLI,1400000,1,1,2013
2,0,1,106000,Corolla0XLI,12850000,1,1,2011
10,0,1,75236,March,440000,1,1,2006
1,0,2,45218,Mehran0VX,235000,1,1,2002
2,0,1,63000,Vitz,820000,1,1,2007
1,0,2,46393,Mehran0VXR,1850000,1,1,1994
1,0,2,65000,Cultus0VXR,6700000,1,1,2010
1,0,2,45321,Palette0Sw,2850000,1,1,2007
2,0,1,78000,Platz,7700000,1,1,2003
4,0,2,86000,Cuore,420000,1,1,2004
2,0,1,94000,Vitz,9850000,1,1,2008
1,0,2,120000,Cultus0VXR,55000000,1,1,2007
2,0,1,115000,Vitz,835000,1,1,2005
2,0,1,42500,Vitz,13850000,1,1,2013
2,0,1,45321,Corolla0GLI,10700000,1,1,2009
1,0,1,48789,Cultus0VXR,818000,1,1,2014
2,0,1,95500,Vitz,13500000,1,1,2013
1,0,1,8000,Cultus0VXR,400000,1,1,2001
2,1,1,15500,Corolla0GLI,1820000,1,1,2015
2,0,3,45321,Hilux,26500000,1,1,2007
13,1,2,2550,Racer,1850000,1,1,1996
1,0,1,45321,Alto,3850000,1,1,2001
3,0,1,80182,City0Vario,6850000,1,1,2005
1,0,2,50000,FX,8500000,1,1,1987
1,0,1,69000,Cultus0VXR,710000,1,1,2012
2,1,1,43946,Corolla0GLI,1810000,1,1,2016
6,0,2,45321,Lancer0Evolution,85000000,1,1,1986
1,0,1,13800,Cultus0VXR,1025000,1,1,2016
