Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
1,0,1,82000,Cultus VXR,785000,1,1,2012
1,0,1,100000,Every,960000,1,1,2014
2,0,1,120000,Corolla XLI,800000,1,1,2006
1,0,2,77000,Alto,405000,1,1,2004
4,1,1,38000,Mira,1250000,1,1,2014
1,0,2,100000,Cultus VXR,650000,1,1,2008
1,0,2,95410,Cultus VXR,695000,1,1,2012
1,0,2,82000,Alto,535000,1,1,2008
1,0,2,100000,Alto,465000,1,1,2007
1,0,2,12500,Liana,600000,1,1,2008
4,0,1,22500,Mira,1250000,1,1,2016
3,0,1,150000,Civic EXi,820000,1,1,2004
1,0,1,100000,Alto,450000,1,1,2007
4,0,1,92000,Cuore,600000,1,1,2006
2,0,1,100000,Camry,1650000,1,1,2006
2,0,1,150000,Corrolla Altis,1550000,1,1,2011
1,0,1,44000,Cultus VXR,860000,1,1,2013
2,0,2,270000,Corolla XLI,950000,1,1,2006
1,1,1,68500,Swift,1165000,1,1,2011
2,1,1,35000,Prado,7550000,1,1,2013
2,0,2,12345,Corolla XE,570000,1,1,1998
1,0,2,74000,Swift,215000,1,1,1989
2,1,1,36000,Aqua,1650000,1,1,2015
1,0,2,48000,Cultus VXL,570000,1,1,2006
1,0,1,100000,Mehran VXR,400000,1,1,2010
3,1,2,153000,Civic EXi,450000,1,1,1998
2,0,1,76000,Vitz,1060000,1,1,2009
8,0,2,100000,Santro,500000,1,1,2001
10,0,1,15000,Dayz,1200000,1,1,2015
2,1,2,105000,Corolla Assista,1125000,1,1,2002
2,0,1,26000,Corolla GLI,1810000,1,1,2016
8,0,2,70000,Santro,270000,1,1,2001
3,0,1,117000,City IDSI,860000,1,1,2007
1,0,1,52000,Mehran VX,280000,1,1,1998
2,1,4,42850,Aqua,1900000,1,1,2015
4,1,1,8400,Mira,1225000,1,1,2015
3,0,1,74000,Civic VTi Oriel Prosmatec,1375000,1,1,2011
2,1,1,9000,Corrolla Altis,2835000,1,1,2017
4,1,1,35000,Mira,1250000,1,1,2013
3,0,1,44000,Civic VTi Oriel Prosmatec,1660000,1,1,2012
1,0,1,87000,Cultus VXR,660000,1,1,2009
3,0,2,100000,City IDSI,775000,1,1,2006
1,0,2,59000,Cultus VXR,865000,1,1,2013
1,0,2,100000,FX,120000,1,1,1985
1,0,1,80000,Carry,825000,1,1,2012
4,0,1,88000,Hijet,810000,1,1,2012
6,0,2,100000,Lancer,750000,1,1,2005
1,0,2,100000,FX,120000,1,1,1988
4,1,1,60000,Mira,920000,1,1,2014
3,1,1,139000,Acty,625000,1,1,2010
3,1,1,69000,Civic VTi Oriel Prosmatec,1850000,1,1,2014
1,1,1,19800,Cultus VXL,1400000,1,1,2018
1,0,1,69000,Bolan,290000,2,1,1994
16,0,1,69000,Other,685000,1,1,2006
2,0,1,150000,Corolla XE,565000,1,1,1992
10,0,1,44400,Moco,1220000,1,1,2014
4,1,1,28000,Mira,1170000,1,1,2017
1,0,1,90000,Mehran VX,140000,1,1,2006
2,0,1,74516,Corolla GLI,1315000,1,1,2011
